1,Juice - Ocean Spray Cranberry,"Occlusion of Left Greater Saphenous Vein, Perc Approach",48.03
2,Wasabi Paste,"Release Atrial Septum, Open Approach",64.74
3,"Asparagus - White, Fresh","Extraction of Left Tympanic Membrane, Via Opening",50.95
4,"Pork - Chop, Frenched","Restriction of L Lg Intest with Extralum Dev, Open Approach",65.04
5,Cheese - Camembert,"Bypass 4+ Cor Art from Abd Art w Autol Vn, Perc Endo",1.12
6,"Pepsi - Diet, 355 Ml","Replace of L Low Leg Tendon with Nonaut Sub, Open Approach",80.12
7,Coffee - Decafenated,"Occlusion of Left Foot Vein with Extralum Dev, Open Approach",41.41
8,Wine - Peller Estates Late,"Supplement R Renal Art with Synth Sub, Perc Endo Approach",2.72
9,Plastic Arrow Stir Stick,"Drainage of Left Lower Lung Lobe, Via Opening, Diagn",48.26
10,Cup Translucent 9 Oz,"Bypass Right Axillary Artery to Bi Up Leg Art, Open Approach",37.82
11,Cup Translucent 9 Oz,"Drainage of Anal Sphincter, Percutaneous Approach",68.93
12,"Cod - Salted, Boneless","Extirpation of Matter from Adenoids, Open Approach",66.88
13,Bonito Flakes - Toku Katsuo,"Drainage of Right Lung, Via Natural or Artificial Opening",27.14
14,Lid Coffee Cup 8oz Blk,"Drainage of Left Lower Femur, Perc Endo Approach, Diagn",15.89
15,Pasta - Fusili Tri - Coloured,"Insert Infusion Dev in L Basilic Vein, Perc Endo",10.97
16,"Soup - Campbells, Beef Barley","Insert of Infusion Dev into L Elbow Jt, Perc Endo Approach",25.1
17,Mints - Striped Red,"Revise of Infusion Dev in R Shoulder Jt, Perc Endo Approach",25.27
18,Pepsi - 600ml,"Removal of Monitoring Device from Ureter, Via Opening",43.45
19,Wine - Montecillo Rioja Crianza,"Excision of Right Basilic Vein, Open Approach, Diagnostic",93.28
20,"Coke - Classic, 355 Ml","Removal of Nonaut Sub from Prostate/Seminal Ves, Endo",63.35